trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.8, 'e': 0.0999999999999992}",25,13,21.921582219464845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.0949999999999992}",20,13,2.2666795637820636,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.08999999999999919}",20,13,11.557636877348674,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.08499999999999919}",25,20,8.207559721069192,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.07999999999999918}",20,12,15.365405963672991,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.07499999999999918}",20,0,-28.475094211251324,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
186,False,"{'a': 0.8, 'e': 0.06999999999999917}",25,11,-18.547087612030932,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.8, 'e': 0.06499999999999917}",25,17,5.8558433013197515,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.05999999999999917}",30,13,31.45120822239307,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.054999999999999175}",20,3,-16.96230914002109,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.8, 'e': 0.04999999999999918}",30,3,39.25381809495944,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,25,17.739364794474255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,12,14.79535757827772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,12,28.525622644202848,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,11,20.51657739314902,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,7,21.899489589183474,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,17,17.033953552195314,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,20,31.998974765268724,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,13,27.271696425611772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,19,9.32091841395671,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,14,11.756426388680044,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
